Assault,Asterix,BattleZone,BeamRider,Boxing,Breakout,CrazyClimber,DemonAttack,DoubleDunk,Enduro,FishingDerby,MsPacman,NameThisGame,Phoenix,Pong,Qbert,SpaceInvaders,Tutankham,VideoPinball
17716.36,440832.0,64780.0,43298.28,98.49,470.5,106788.0,130021.25,-14.84,2255.12,33.22,4720.2,21939.1,47370.7,17.55,12620.5,3763.05,162.08,116244.53
15781.52,418068.0,69060.0,32891.04,98.44,547.4,105924.0,130267.65,-15.62,2253.17,29.26,4334.8,22310.5,56644.0,16.89,14736.5,8339.25,160.49,49896.5
14800.41,400202.0,71530.0,44345.28,98.5,535.18,99600.0,131362.1,-8.76,2109.59,32.12,4583.6,23249.7,43631.0,13.09,14951.5,10420.65,156.53,122764.99
14835.97,254184.0,70620.0,36874.24,98.9,553.2,104396.0,129733.2,-15.36,2271.27,32.02,4701.0,22773.3,59342.2,16.85,15091.5,8717.3,160.07,164700.1
14530.2,358200.0,73560.0,34992.96,99.15,581.64,100474.0,131283.55,-9.46,2258.34,32.44,4491.8,22919.6,43716.7,16.57,14521.75,8433.05,161.4,199967.94
19983.28,301970.0,68970.0,34120.72,99.1,487.44,105888.0,133117.25,-11.98,2286.13,33.76,4818.0,22709.5,45587.4,16.74,14829.5,6813.5,159.39,174878.67
18857.66,212940.0,73670.0,34668.4,98.72,511.48,105882.0,129955.0,-7.26,2233.89,27.88,4849.2,22972.4,68472.0,16.88,15313.0,3798.75,160.18,79616.75
16498.4,105926.0,73100.0,27904.6,98.83,518.2,111080.0,132238.1,-1.4,2290.45,33.84,4477.2,22871.6,78226.7,17.06,15771.0,6741.1,153.4,181790.11
9938.87,241044.0,71650.0,23361.84,98.67,549.46,105054.0,131983.0,-13.3,2246.33,32.8,5327.8,22785.9,75490.4,16.67,9849.0,10384.7,163.65,221059.77
17304.14,431880.0,73020.0,25787.8,98.48,470.76,107356.0,130719.6,-1.1,2297.75,33.36,5244.0,23061.1,79849.1,17.13,17533.5,6180.1,160.91,143036.56
16962.65,263028.0,78680.0,43332.12,99.42,551.94,107540.0,115410.2,7.38,2221.44,32.21,4931.6,22530.1,85314.5,17.42,16904.75,9002.2,159.65,213025.08
16041.05,327346.0,76450.0,45081.88,99.15,527.86,107600.0,132456.7,-8.46,2220.79,33.02,5359.0,23245.3,97242.0,17.81,16407.5,12390.95,159.01,154725.19
15812.91,349822.0,87150.0,30141.0,99.1,537.0,110212.0,121613.4,-1.92,2257.71,32.94,4694.6,22992.7,92289.0,16.74,17865.0,15779.95,153.59,239105.95
19666.9,205100.0,90410.0,37864.68,98.86,589.9,109480.0,129090.4,8.88,2285.91,32.8,5058.6,22069.6,79687.5,17.34,15367.25,11340.0,160.56,318405.52
20134.27,297202.0,75500.0,34715.6,99.3,575.16,111978.0,123332.9,11.74,2306.15,34.73,5615.82,23540.8,60965.6,17.04,17248.75,18693.05,153.89,342082.8
18512.62,255352.0,84840.0,31866.4,99.54,577.54,104362.0,130949.2,0.16,2277.96,34.27,5226.2,23616.1,105370.7,17.29,16327.75,14203.6,157.0,102347.95
21246.09,385918.0,89600.0,46650.4,99.1,541.24,108440.0,131966.8,8.14,2267.78,33.79,5626.42,23298.1,88531.0,17.68,19638.5,15036.9,161.72,184742.08
20405.06,118698.0,77220.0,40452.24,99.25,540.6,109820.0,132853.35,16.72,2320.29,33.56,5039.4,23514.4,69421.5,17.53,20401.75,12197.9,157.22,309039.53
20166.75,206540.0,70670.0,47064.04,98.6,471.98,103946.0,132202.25,16.16,2311.36,35.38,6027.0,22922.1,86960.8,17.09,19825.25,22293.5,157.6,298694.91
20382.47,235214.0,84920.0,29575.28,99.37,486.38,105054.0,130945.8,18.2,2286.58,30.75,5602.2,23216.1,74962.0,16.78,19568.5,12677.4,164.16,253653.07
19027.07,423942.0,80960.0,53120.92,99.08,547.62,105870.0,133955.25,17.46,2265.32,33.17,5248.6,23450.7,49930.6,17.41,21677.0,17210.25,160.23,322493.69
18978.21,326620.0,78240.0,47122.32,99.47,529.9,106664.0,132340.65,17.98,2315.95,34.94,5755.42,24084.5,100151.1,17.3,21880.75,6814.6,160.96,393612.11
20564.76,452336.0,81610.0,41571.76,99.26,575.94,108146.0,125910.05,17.48,2318.02,31.21,5661.4,23468.7,128961.1,17.75,20966.5,9543.45,163.75,282429.05
20789.75,196428.0,97250.0,50340.84,99.19,542.56,109912.0,132425.55,17.72,2306.57,30.91,6115.4,23817.0,65521.1,17.63,20826.75,11880.7,166.73,336650.4
23709.81,199995.0,83190.0,27148.48,99.09,555.7,106928.0,134030.5,18.38,2280.59,30.86,6337.02,23911.5,83801.0,17.35,20100.25,25884.85,147.91,299710.36
22150.31,315306.0,79720.0,33716.88,99.44,424.4,106470.0,131137.55,19.4,2252.52,28.76,6030.0,22933.7,77905.8,17.82,22544.75,16966.75,165.22,395923.22
19318.68,202016.0,96310.0,33745.16,99.57,513.28,106684.0,134211.1,17.9,2305.47,30.45,6573.44,23692.6,97354.2,17.21,21557.5,13271.25,141.99,331238.45
18432.98,299610.0,94060.0,34645.8,99.47,512.82,106190.0,132466.0,18.06,2311.08,37.08,6433.62,23707.4,100234.6,17.45,22648.0,13681.2,157.49,325828.33
20102.63,185022.0,89600.0,60898.72,99.11,533.26,112324.0,132586.45,18.02,2335.36,34.52,6103.22,23879.7,105477.1,17.77,22086.25,14968.65,168.49,339460.07
19392.65,236502.0,81260.0,48168.2,99.39,513.34,106274.0,132934.5,19.0,2317.01,34.58,6113.44,20780.8,114949.2,17.61,22333.0,18453.0,169.14,335249.33
18565.2,228448.0,85510.0,40645.08,99.46,536.66,99312.0,133811.15,19.52,2297.15,29.53,5733.6,23489.9,60336.6,17.5,22943.5,26850.5,168.29,359090.95
17083.39,293234.0,82260.0,31665.52,99.26,508.46,107484.0,133162.45,17.3,2311.67,33.23,6103.62,24154.1,105078.9,17.95,20092.75,21103.4,166.57,367845.04
17547.03,175552.0,102150.0,31380.36,98.64,550.82,109240.0,134185.9,19.0,2317.22,37.8,6170.02,24085.1,154515.7,18.02,23009.75,25859.95,170.59,384029.66
18397.46,256740.0,81230.0,48330.44,99.46,467.88,106852.0,133713.4,18.22,2288.5,36.47,6074.0,23879.4,125961.4,17.23,22706.0,13088.45,173.67,338723.98
23976.19,433396.0,77570.0,39926.16,98.99,470.78,111038.0,132735.9,17.9,2032.92,32.89,6047.62,24323.1,207679.7,17.29,23127.5,16824.45,167.19,327640.46
19886.27,287676.0,92720.0,45377.24,99.26,437.06,106050.0,133837.45,19.46,2320.9,35.7,7043.28,24087.1,74274.6,18.05,23217.5,25134.5,162.84,428730.63
22338.1,381204.0,84380.0,50157.0,99.65,504.6,105822.0,133467.55,18.38,2320.84,32.74,6645.86,24154.1,149921.8,17.99,22715.25,20501.65,172.94,370110.41
21098.97,282086.0,84290.0,43370.2,99.09,533.8,110380.0,133884.1,18.48,2332.53,36.72,6225.86,24458.1,115899.3,17.63,23039.75,14316.65,169.57,288983.33
19155.72,227182.0,93220.0,51219.56,98.47,486.98,105152.0,133456.9,19.32,2314.95,35.25,6268.26,24809.0,147764.6,17.49,23918.0,20892.95,175.36,341840.45
20927.49,149844.0,98660.0,48904.8,99.25,510.26,115594.0,131137.1,18.56,2296.73,33.58,6052.02,24304.8,207217.8,17.97,23498.0,25430.65,169.14,358977.85
19203.41,234532.0,91490.0,21966.24,98.64,485.96,100852.0,133314.75,19.14,2325.29,31.03,5946.84,25019.8,137254.6,17.76,24431.0,26706.35,172.71,380677.41
18134.28,254690.0,99240.0,48541.84,99.05,537.7,109286.0,133211.7,18.8,2290.83,32.86,6211.44,24468.5,157763.9,17.63,23224.75,26125.2,161.44,363909.39
18134.74,196831.0,102530.0,23684.28,99.15,465.96,110494.0,133043.05,18.78,2312.7,33.78,6279.84,24256.8,138421.7,18.27,23324.25,32023.45,174.12,387937.24
23386.48,307310.0,119780.0,45845.12,98.63,469.94,114834.0,134093.95,20.3,2285.33,33.0,6180.82,24485.2,109662.0,17.78,23601.5,30123.4,172.13,386983.53
22192.28,197396.0,106130.0,43882.8,99.26,590.18,111060.0,134842.0,19.54,2305.48,33.13,5906.2,24878.4,100765.4,17.96,24422.25,34382.0,176.16,300383.86
22447.46,220477.0,113210.0,44453.72,99.32,599.18,109890.0,132321.0,19.3,2294.88,29.01,6720.48,24805.6,154423.4,17.82,24466.0,26753.05,176.74,410776.24
25504.34,142446.0,146560.0,51390.72,99.45,518.96,107398.0,133780.0,19.4,2282.37,29.61,6337.86,24452.8,173665.7,18.33,21281.5,28914.2,174.32,353521.53
20292.92,250980.0,102160.0,50515.0,99.41,511.28,112482.0,134371.8,19.06,2308.36,34.08,6241.62,24985.3,138103.2,18.28,22891.75,21700.25,167.86,342840.18
16184.32,406096.0,132410.0,47829.2,99.37,578.16,107224.0,133774.9,17.42,2308.52,35.38,7046.12,25058.4,169295.9,17.65,24139.5,26886.3,166.72,376682.41
19217.18,374298.0,113480.0,35994.16,99.32,544.54,107258.0,134915.9,20.22,2326.21,31.64,6306.84,23988.3,184128.3,18.0,23502.75,29212.9,175.61,372118.31
23502.24,316574.0,96310.0,48240.4,99.22,547.46,108980.0,133359.1,19.8,2325.82,33.8,4678.0,24063.3,103836.6,17.64,23971.25,17204.6,178.31,438910.72
23809.28,284608.0,93670.0,56261.68,99.49,535.14,105062.0,134205.8,20.76,2312.02,34.67,6369.06,24165.8,93860.8,17.99,24464.75,27543.6,176.78,411955.43
22601.93,205936.0,100260.0,46530.24,99.34,606.94,105268.0,134522.85,19.78,2345.66,36.22,7284.54,24889.9,129558.1,18.09,25294.25,27344.6,177.58,376392.57
20998.07,160550.0,83360.0,59551.76,99.13,509.56,109946.0,134465.9,19.52,2343.0,34.8,6685.88,25040.5,159735.5,18.23,23785.75,19973.05,171.03,423295.46
21434.23,349456.0,106480.0,47388.48,98.9,560.64,101380.0,133215.45,19.9,2345.19,38.76,7222.28,25072.0,150761.9,17.67,24002.75,32934.35,175.91,401905.54
19711.7,248902.0,105630.0,40095.32,99.38,618.54,107718.0,133567.45,20.78,2304.86,37.16,6695.66,24345.4,151798.9,18.17,24826.75,26601.45,162.22,414257.32
21646.32,321798.0,90710.0,53143.32,99.42,533.1,112646.0,134581.35,20.18,2287.1,39.09,7732.2,24978.6,204129.4,17.83,24326.25,15884.75,170.37,425908.65
20924.42,199372.0,103040.0,45251.68,99.5,541.36,105668.0,134356.35,19.98,2256.83,38.9,6965.66,24500.2,170686.5,17.9,25405.25,25373.1,173.01,439190.48
23658.2,358624.0,91090.0,67967.64,99.18,496.88,116456.0,134484.2,19.7,2339.4,41.81,6974.12,25108.4,109518.7,18.16,24420.5,35682.0,178.12,326514.93
16535.87,203006.0,119370.0,53134.52,99.4,605.78,111330.0,134271.3,19.44,2277.55,38.32,6233.24,25519.3,117840.4,18.29,24876.0,30294.85,171.92,351917.22
